,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.7868852459016393,0.7631578947368421,0.8787878787878788,0.8169014084507042,0.8647186147186147
Random Forest,0.7868852459016393,0.75,0.9090909090909091,0.821917808219178,0.8760822510822511
Svm,0.8032786885245902,0.7560975609756098,0.9393939393939394,0.8378378378378378,0.8722943722943723
Knn,0.7868852459016393,0.75,0.9090909090909091,0.821917808219178,0.8457792207792207
